603301.SH,振德医疗,医疗保健,26,1451273.7,7.34,6.65,107.75,45.85,2.27,401.24,1544.74
002985.SZ,北摩高科,航空,15,2052830.45,95.08,13.21,14.47,74.04,-0.56,50.45,80.4
600862.SH,中航高科,航空,15,3605295.47,56.0,8.4,15.23,30.84,-0.53,22.26,28.93
002444.SZ,巨星科技,轻工机械,4,2306535.57,18.26,2.87,16.25,33.92,-0.76,25.76,42.23
002698.SZ,博实股份,化工机械,6,1289222.36,28.48,5.49,19.52,44.26,0.12,34.68,36.67
002838.SZ,道恩股份,塑料,27,1203841.58,10.28,7.47,86.43,38.51,2.1,75.16,640.99
002568.SZ,百润股份,红黄酒,4,3346968.9,78.95,15.21,20.12,69.13,1.29,24.03,55.02
603208.SH,江山欧派,家居用品,32,1269148.95,47.01,9.25,20.16,31.64,-0.84,45.39,65.71
601899.SH,紫金矿业,黄金,8,16968498.33,27.83,0.35,11.77,11.48,21.68,28.34,52.12
002214.SZ,大立科技,电器仪表,23,1149640.42,19.66,8.52,46.66,60.36,1.2,169.63,399.55
002563.SZ,森马服饰,服饰,36,1915588.46,443.5,2.27,0.39,43.26,19.7,-30.24,-97.01
600612.SH,老凤祥,服饰,36,2433072.36,16.42,3.14,20.05,8.38,5.91,-5.76,0.24
002352.SZ,顺丰控股,仓储物流,31,39580812.29,52.61,8.6,16.85,18.65,1.83,42.05,21.35
603128.SH,华贸物流,仓储物流,31,1075622.12,19.98,2.43,12.58,12.08,1.95,35.81,57.88
603005.SH,晶方科技,半导体,24,2194081.26,61.37,9.78,16.95,49.92,1.14,123.9,416.45
002156.SZ,通富微电,半导体,24,2714800.69,121.8,4.5,3.61,15.11,6.48,30.17,243.54
600050.SH,中国联通,电信运营,6,15265735.18,22.82,1.05,4.63,27.29,14.51,3.76,10.89
601933.SH,永辉超市,超市连锁,9,7980175.08,21.53,3.77,18.14,22.37,2.77,22.68,35.36
600887.SH,伊利股份,乳制品,8,24603604.98,32.93,9.56,28.89,38.17,1.0,5.29,-1.2
600415.SH,小商品城,商品城,3,3005694.25,20.88,2.15,10.77,59.03,-0.99,17.62,6.82
601038.SH,一拖股份,农用机械,4,1136695.21,17.58,2.59,15.29,20.05,1.4,20.68,1548.75
600315.SH,上海家化,日用化工,7,2742585.06,74.76,4.36,5.87,61.83,1.96,-6.07,-58.68
600685.SH,中船防务,船舶,5,4055414.78,6.54,3.03,52.7,5.4,-0.88,-45.07,694.07
